!SOT
401070!shr esi, 0x5!RR_esi_43c4cfa1!WR_esi_21e267d
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_21e267d!WR_esi_e0cbe55f
401076!mov edi, eax!RR_eax_43c4cfa1!WR_edi_43c4cfa1
401078!shl edi, 0x4!RR_edi_43c4cfa1!WR_edi_3c4cfa10
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_3c4cfa10!WR_edi_1afab8f1
40107e!xor esi, edi!RR_esi_e0cbe55f_edi_1afab8f1!WR_esi_fa315dae
401080!lea edi, ptr [edx+eax*1]!RR_eax_43c4cfa1_edx_36fbef9f!WR_edi_7ac0bf40
401083!xor esi, edi!RR_esi_fa315dae_edi_7ac0bf40!WR_esi_80f1e2ee
401085!sub ecx, esi!RR_ecx_b51c4c30_esi_80f1e2ee!WR_ecx_342a6942
401087!add edx, 0x61c88647!RR_edx_36fbef9f!WR_edx_98c475e6
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_17!RR_ebp_12ff54!WM_12ff50_4_16
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_342a6942!WR_esi_342a6942
401057!shr esi, 0x5!RR_esi_342a6942!WR_esi_1a1534a
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_1a1534a!WR_esi_e04f122e
40105d!mov edi, ecx!RR_ecx_342a6942!WR_edi_342a6942
40105f!shl edi, 0x4!RR_edi_342a6942!WR_edi_42a69420
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_42a69420!WR_edi_21545303
401065!xor esi, edi!RR_esi_e04f122e_edi_21545303!WR_esi_c11b412d
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_342a6942_edx_98c475e6!WR_edi_cceedf28
40106a!xor esi, edi!RR_esi_c11b412d_edi_cceedf28!WR_esi_df59e05
40106c!sub eax, esi!RR_eax_43c4cfa1_esi_df59e05!WR_eax_35cf319c
40106e!mov esi, eax!RR_eax_35cf319c!WR_esi_35cf319c
401070!shr esi, 0x5!RR_esi_35cf319c!WR_esi_1ae798c
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_1ae798c!WR_esi_e05c386e
401076!mov edi, eax!RR_eax_35cf319c!WR_edi_35cf319c
401078!shl edi, 0x4!RR_edi_35cf319c!WR_edi_5cf319c0
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_5cf319c0!WR_edi_3ba0d8a1
40107e!xor esi, edi!RR_esi_e05c386e_edi_3ba0d8a1!WR_esi_dbfce0cf
401080!lea edi, ptr [edx+eax*1]!RR_eax_35cf319c_edx_98c475e6!WR_edi_ce93a782
401083!xor esi, edi!RR_esi_dbfce0cf_edi_ce93a782!WR_esi_156f474d
401085!sub ecx, esi!RR_ecx_342a6942_esi_156f474d!WR_ecx_1ebb21f5
401087!add edx, 0x61c88647!RR_edx_98c475e6!WR_edx_fa8cfc2d
40108d!dec dword ptr [ebp-0x4]!RM_12ff50_4_16!RR_ebp_12ff54!WM_12ff50_4_15
401090!jnz 0x401055
401055!mov esi, ecx!RR_ecx_1ebb21f5!WR_esi_1ebb21f5
401057!shr esi, 0x5!RR_esi_1ebb21f5!WR_esi_f5d90f
40105a!add esi, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee4!RR_ebp_12ff54_esi_f5d90f!WR_esi_dfa397f3
40105d!mov edi, ecx!RR_ecx_1ebb21f5!WR_edi_1ebb21f5
40105f!shl edi, 0x4!RR_edi_1ebb21f5!WR_edi_ebb21f50
401062!add edi, dword ptr [ebp-0xc]!RM_12ff48_4_deadbee3!RR_ebp_12ff54_edi_ebb21f50!WR_edi_ca5fde33
401065!xor esi, edi!RR_esi_dfa397f3_edi_ca5fde33!WR_esi_15fc49c0
401067!lea edi, ptr [edx+ecx*1]!RR_ecx_1ebb21f5_edx_fa8cfc2d!WR_edi_19481e22
40106a!xor esi, edi!RR_esi_15fc49c0_edi_19481e22!WR_esi_cb457e2
40106c!sub eax, esi!RR_eax_35cf319c_esi_cb457e2!WR_eax_291ad9ba
40106e!mov esi, eax!RR_eax_291ad9ba!WR_esi_291ad9ba
401070!shr esi, 0x5!RR_esi_291ad9ba!WR_esi_148d6cd
401073!add esi, dword ptr [ebp-0x10]!RM_12ff44_4_deadbee2!RR_ebp_12ff54_esi_148d6cd!WR_esi_dff695af
401076!mov edi, eax!RR_eax_291ad9ba!WR_edi_291ad9ba
401078!shl edi, 0x4!RR_edi_291ad9ba!WR_edi_91ad9ba0
40107b!add edi, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee1!RR_ebp_12ff54_edi_91ad9ba0!WR_edi_705b5a81
40107e!xor esi, edi!RR_esi_dff695af_edi_705b5a81!WR_esi_afadcf2e
401080!lea edi, ptr [edx+eax*1]!RR_eax_291ad9ba_edx_fa8cfc2d!WR_edi_23a7d5e7
401083!xor esi, edi!RR_esi_afadcf2e_edi_23a7d5e7!WR_esi_8c0a1ac9
401085!sub ecx, esi!RR_ecx_1ebb21f5_esi_8c0a1ac9!WR_ecx_92b1072c
