!SOT
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_4502c463!RR_ebp_12ff54!WR_ecx_4502c463
4010c3!sub ecx, eax!RR_eax_9950f456_ecx_4502c463!WR_ecx_abb1d00d
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_abb1d00d_ebp_12ff54!WM_12ff30_4_abb1d00d
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_ec48c9f5!RR_ebp_12ff54!WR_edx_ec48c9f5
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_ec48c9f5_ebp_12ff54!WR_edx_4e11503c
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_4e11503c_ebp_12ff54!WM_12ff44_4_4e11503c
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_3!RR_ebp_12ff54!WR_eax_3
401074!add eax, 0x1!RR_eax_3!WR_eax_4
401077!mov dword ptr [ebp-0x4], eax!RR_eax_4_ebp_12ff54!WM_12ff50_4_4
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_4!RR_ebp_12ff54
40107e!jnb 0x4010d3
401080!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_abb1d00d!RR_ebp_12ff54!WR_ecx_abb1d00d
401083!shl ecx, 0x4!RR_ecx_abb1d00d!WR_ecx_bb1d00d0
401086!add ecx, dword ptr [ebp-0x18]!RM_12ff3c_4_deadbee3!RR_ecx_bb1d00d0_ebp_12ff54!WR_ecx_99cabfb3
401089!mov edx, dword ptr [ebp-0x24]!RM_12ff30_4_abb1d00d!RR_ebp_12ff54!WR_edx_abb1d00d
40108c!add edx, dword ptr [ebp-0x10]!RM_12ff44_4_4e11503c!RR_edx_abb1d00d_ebp_12ff54!WR_edx_f9c32049
40108f!xor ecx, edx!RR_ecx_99cabfb3_edx_f9c32049!WR_ecx_60099ffa
401091!mov eax, dword ptr [ebp-0x24]!RM_12ff30_4_abb1d00d!RR_ebp_12ff54!WR_eax_abb1d00d
401094!shr eax, 0x5!RR_eax_abb1d00d!WR_eax_55d8e80
401097!add eax, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee4!RR_eax_55d8e80_ebp_12ff54!WR_eax_e40b4d64
40109a!xor ecx, eax!RR_eax_e40b4d64_ecx_60099ffa!WR_ecx_8402d29e
40109c!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_9260bfa3!RR_ebp_12ff54!WR_edx_9260bfa3
40109f!sub edx, ecx!RR_ecx_8402d29e_edx_9260bfa3!WR_edx_e5ded05
4010a1!mov dword ptr [ebp-0xc], edx!RR_edx_e5ded05_ebp_12ff54!WM_12ff48_4_e5ded05
