Loop detection ... Done
Loop I/O... Done
Debug graph... Done
Algorithm reconstruction... Done
Algorithm graph... Done
Dump results... Done
         2211810 function calls (2211147 primitive calls) in 10.482 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.000    0.000    0.000    0.000 pydot.py:761(get_name)
      132    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E1FED58}
       11    0.000    0.000    0.000    0.000 pyparsing.py:1787(__str__)
       40    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        3    0.000    0.000    0.000    0.000 ntpath.py:454(abspath)
        5    0.000    0.000    0.000    0.000 pyparsing.py:2794(__init__)
       25    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
       17    0.000    0.000    0.000    0.000 pyparsing.py:709(setName)
      105    0.000    0.000    0.000    0.000 {unichr}
       12    0.000    0.000    0.000    0.000 pyparsing.py:1451(setName)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1245(__or__)
       12    0.000    0.000    0.000    0.000 pyparsing.py:453(_asStringList)
       19    0.000    0.000    0.000    0.000 sre_parse.py:263(_escape)
        4    0.000    0.000    0.000    0.000 pydot.py:440(RegOpenKeyEx)
       32    0.000    0.000    0.000    0.000 pyparsing.py:1506(parseImpl)
       80    0.000    0.000    0.000    0.000 {getattr}
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3302(<lambda>)
        4    0.000    0.000    0.000    0.000 {_subprocess.CreatePipe}
       18    0.000    0.000    0.000    0.000 random.py:259(choice)
        1    0.000    0.000    0.000    0.000 tempfile.py:483(SpooledTemporaryFile)
        3    0.000    0.000    0.000    0.000 ntpath.py:398(normpath)
       25    0.000    0.000    0.000    0.000 pyparsing.py:1375(__str__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        2    0.000    0.000    0.000    0.000 genericpath.py:38(isdir)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
       30    0.000    0.000    0.000    0.000 pyparsing.py:365(__bool__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:841(setParseAction)
        4    0.000    0.000    0.000    0.000 __init__.py:52(create_string_buffer)
       11    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
       74    0.000    0.000    0.000    0.000 pyparsing.py:1381(streamline)
        2    0.000    0.000    0.000    0.000 tempfile.py:119(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:337(__init__)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2445(__init__)
       22    0.000    0.000    0.000    0.000 pyparsing.py:317(__getitem__)
       67    0.000    0.000    0.000    0.000 loopTrace.py:109(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:420(__getattr__)
       64    0.000    0.000    0.000    0.000 {built-in method group}
        3    0.000    0.000    0.000    0.000 __init__.py:480(PYFUNCTYPE)
       70    0.000    0.000    0.000    0.000 pyparsing.py:909(postParse)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1331(setWhitespaceChars)
        2    0.000    0.000    0.000    0.000 genericpath.py:26(isfile)
        4    0.000    0.000    0.000    0.000 __init__.py:363(__getattr__)
        8    0.000    0.000    0.000    0.000 {built-in method Close}
        6    0.000    0.000    0.000    0.000 {map}
       63    0.000    0.000    0.000    0.000 utilities.py:36(isAscii)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3015(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2301(setResultsName)
       37    0.000    0.000    0.000    0.000 {max}
        2    0.000    0.000    0.000    0.000 pyparsing.py:1305(__invert__)
       46    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 weakref.py:6(<module>)
       52    0.000    0.000    0.000    0.000 {hex}
        5    0.000    0.000    0.000    0.000 pyparsing.py:2045(__init__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2813(__str__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2677(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        5    0.000    0.000    0.000    0.000 {nt.fdopen}
        2    0.000    0.000    0.000    0.000 tempfile.py:205(_get_candidate_names)
        1    0.000    0.000    0.000    0.000 tempfile.py:140(_candidate_tempdir_list)
        4    0.000    0.000    0.000    0.000 pyparsing.py:326(__setitem__)
       24    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        5    0.000    0.000    0.000    0.000 re.py:206(escape)
        6    0.000    0.000    0.000    0.000 pyparsing.py:747(_normalizeParseActionArgs)
       13    0.000    0.000    0.000    0.000 pyparsing.py:1728(charsAsStr)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       40    0.000    0.000    0.000    0.000 {id}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2101(__init__)
       31    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 pyparsing.py:2710(__init__)
       33    0.000    0.000    0.000    0.000 sre_parse.py:140(__setitem__)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2799(parseImpl)
       24    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:370(__getitem__)
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        2    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
        2    0.000    0.000    0.000    0.000 {_subprocess.GetExitCodeProcess}
        1    0.000    0.000    0.000    0.000 threading.py:357(Event)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2484(__str__)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        3    0.000    0.000    0.000    0.000 {function seed at 0x020284B0}
       10    0.000    0.000    0.000    0.000 pyparsing.py:3215(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:364(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:174(Condition)
        6    0.000    0.000    0.000    0.000 pyparsing.py:1410(getException)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        2    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        3    0.000    0.000    0.000    0.000 os.py:510(getenv)
        4    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
        1    0.000    0.000    0.000    0.000 threading.py:374(set)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3027(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2076(__init__)
       18    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        3    0.000    0.000    0.000    0.000 {nt._getfullpathname}
        6    0.000    0.000    0.000    0.000 pyparsing.py:369(keys)
        2    0.000    0.000    0.000    0.000 threading.py:179(__init__)
        4    0.000    0.000    0.000    0.000 algorithm.py:12(__init__)
        2    0.000    0.000    0.000    0.000 pydot.py:1541(set_parent_graph)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2311(And)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1323(leaveWhitespace)
        6    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 os.py:444(get)
       16    0.000    0.000    0.000    0.000 pyparsing.py:261(__getitem__)
        1    0.000    0.000    0.000    0.000 algorithm.py:3(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3058(postParse)
       10    0.000    0.000    0.000    0.000 {repr}
       15    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 threading.py:412(Thread)
       11    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
        1    0.000    0.000    0.000    0.000 threading.py:288(notifyAll)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1460(__init__)
       12    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
        1    0.000    0.000    0.000    0.000 pyparsing.py:2145(__init__)
